GUID 7fe493727bdc4b11bdfbf8da0b88e64f
Response_10_Dialogue 338
Response_10_Quest 327
Response_10_Conditions 2
Response_10_Condition_0_Type Quest
Response_10_Condition_0_ID 327
Response_10_Condition_0_Status Ready
Response_10_Condition_0_Logic Equal
Response_10_Condition_0_Reset
Response_10_Condition_1_Type Holiday
Response_10_Condition_1_Value Christmas

//XMAS Vendor
Response_11_Dialogue 335
Response_11_Vendor 336
Response_11_Conditions 2
Response_11_Condition_0_Type Flag_Bool
Response_11_Condition_0_ID 317
Response_11_Condition_0_Value True
Response_11_Condition_0_Logic Equal
Response_11_Condition_1_Type Holiday
Response_11_Condition_1_Value Christmas

// Armory wants Scoped Ace
Response_12_Dialogue d44e4c2ba4dc4f419c6762f4435a77ba
Response_12_Conditions 1
// Armory Ace Progress
Response_12_Condition_0_Type Flag_Short
Response_12_Condition_0_ID 346
Response_12_Condition_0_Value 1
Response_12_Condition_0_Logic Equal
Response_12_Rewards 1
// Armory Ace Progress
Response_12_Reward_0_Type Flag_Short
Response_12_Reward_0_ID 346
Response_12_Reward_0_Value 2
Response_12_Reward_0_Modification Assign

// Armory wants Suppressed Bluntforce
Response_13_Dialogue 4494c5e6b54b45e5a3748834d0a0847d
Response_13_Conditions 1
// Armory Bluntforce Progress
Response_13_Condition_0_Type Flag_Short
Response_13_Condition_0_ID 347
Response_13_Condition_0_Value 1
Response_13_Condition_0_Logic Equal
Response_13_Rewards 1
// Armory Bluntforce Progress
Response_13_Reward_0_Type Flag_Short
Response_13_Reward_0_ID 347
Response_13_Reward_0_Value 2
Response_13_Reward_0_Modification Assign
